id;ongd;nior;tiem;pres;equi;prop;cxto;acto;nigi;nige;nicg;niin;ddrg;ddri;dddg;dddi;efne;mixt;parn;efec;tria;raiz_a;raiz_b;mplu;memp;mnse;judi;jupr;jure;reco;nose
Evaluación 01;0;1;0;0;-1;-1;-1;0;-1;-1;0;-1;-1;-1;1;-1;-1;1;0;0;-1;-1;-1;0;0;0;-1;-1;-1;-1;-1
Evaluación 02;1;-1;1;0;2;1;2;2;1;-1;2;2;1;0;1;0;1;1;1;2;1;1;0;1;1;1;1;1;1;2;1
Evaluación 03;1;1;0;0;2;-1;2;1;0;1;2;-1;1;-1;1;-1;1;0;1;1;0;1;-1;1;1;1;1;1;1;1;1
Evaluación 04;1;2;0;0;0;-1;1;0;0;-1;2;2;0;-1;0;0;-1;1;0;-1;-1;0;-1;1;1;1;1;1;1;1;1
Evaluación 05;-1;0;-1;-1;-1;-1;1;0;0;-1;0;2;-1;-1;1;0;-1;1;0;-1;-1;-1;0;0;0;0;-1;1;1;1;1
Evaluación 06;1;1;0;0;2;1;1;1;0;-1;1;-1;1;-1;1;0;-1;1;0;1;1;1;-1;1;1;1;-1;-1;1;1;1
Evaluación 07;0;0;0;0;2;1;2;1;0;-1;1;1;1;-1;1;-1;1;1;1;0;1;2;0;-1;1;1;1;1;1;2;-1
Evaluación 08;0;0;-1;0;0;1;-1;2;0;-1;1;-1;0;-1;1;0;-1;0;0;0;0;-1;0;0;0;0;1;1;1;1;1
Evaluación 09;1;1;0;0;0;-1;-1;0;0;-1;0;-1;-1;0;0;1;-1;1;0;-1;1;-1;-1;0;0;0;1;-1;1;1;1
Evaluación 10;1;1;-1;1;2;-1;2;0;0;-1;2;-1;1;-1;1;0;1;0;0;1;0;0;-1;1;1;1;1;1;1;2;1
Evaluación 11;0;-1;0;0;-1;-1;1;0;-1;-1;0;-1;-1;-1;0;0;-1;1;0;-1;1;0;-1;0;0;0;-1;-1;1;-1;1
Evaluación 12;0;0;1;0;2;-1;-1;0;0;-1;1;-1;1;-1;1;-1;-1;1;1;1;-1;-1;-1;1;1;1;1;-1;-1;1;1
Evaluación 13;1;1;0;0;0;-1;-1;-1;0;0;1;-1;-1;-1;0;-1;-1;1;0;-1;-1;-1;-1;0;0;0;1;-1;1;-1;1
Evaluación 14;1;1;0;0;2;1;2;1;0;0;1;-1;0;0;1;-1;-1;1;0;0;-1;1;-1;1;1;1;-1;-1;1;1;1
Evaluación 15;1;1;1;0;2;1;-1;0;1;0;2;1;1;-1;1;-1;1;0;-1;2;0;2;-1;1;1;1;1;1;1;1;1
Evaluación 16;2;1;1;0;0;-1;2;1;1;1;2;1;1;0;1;0;1;1;1;2;1;2;0;1;-1;1;1;1;1;1;1
Evaluación 17;1;1;0;0;2;1;2;1;0;-1;0;1;1;-1;1;0;-1;1;0;1;1;2;1;1;1;1;1;1;1;1;1
Evaluación 18;2;1;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Evaluación 19;1;1;0;2;0;-1;-1;-1;0;0;1;-1;0;-1;0;-1;-1;1;0;-1;-1;-1;-1;0;0;0;1;-1;1;-1;1
Evaluación 20;2;2;-1;0;-1;-1;2;0;0;-1;1;1;0;-1;1;-1;-1;1;1;0;-1;-1;0;0;0;0;1;1;1;-1;1
Evaluación 21;2;1;0;1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Evaluación 22;2;2;-1;1;0;1;2;1;1;-1;0;2;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;2;1
Evaluación 23;2;1;0;0;-1;-1;-1;-1;0;-1;1;1;0;1;1;0;-1;1;0;0;1;-1;-1;0;0;0;1;-1;1;-1;1
Evaluación 24;-1;1;1;0;2;-1;1;0;0;0;2;1;0;0;0;-1;-1;1;0;2;-1;0;-1;1;1;1;1;1;1;1;1
